date|time|description|vendor|amount
2025-01-05|09:15:00|Opening balance deposit|Hearthblood Bank|1000.00
2025-01-12|01:42:10|Ink and Quills|Morthal General|-48.22
2025-02-03|08:05:33|S-Rank commission|White Dragons Guild|1250.00
2025-02-10|06:20:00|Gear maintenance bill|Blackfire Smithing|-89.99
2025-03-01|12:00:00|Ale with client|Starbuck Inn|-14.75
2025-03-15|04:45:21|Potion restock|Mortar and Pestle|-209.99
2025-04-22|10:30:00|Mining Escort|Mithril Picks LLC|800.00
2025-05-02|11:11:11|Hay bales|Arcadia Stables|-19.47
2025-06-14|03:05:09|Food reimbursement|Guild Client|215.00
2025-07-19|07:22:45|Team lunch|The Pawned Prawn|-63.80
2025-08-08|07:59:59|Equipment sale|Riften Marketplace|1500.00
2025-09-30|12:00:00|Oil bill|Guild Utilities|-122.18
2025-10-21|02:25:33|Commission bonus|Red Guild Bank|500.00
2025-11-11|09:09:09|Phoenix renewal scroll|Mortar and Pestle|-21.17
2025-12-31|11:50:00|Year-end adjustment|Hearthblood Bank|300.00
2026-01-03|10:10:10|January rent|Local lord|-950.00
2026-01-15|09:30:00|Escort invoice 2001 paid|Guild Client|1750.00
2026-02-07|08:00:00|Bow repair|Sky Forge|-140.00
2026-02-28|05:45:00|Spell book sale income|Riften Marketplace|84.32
2026-03-02|12:12:12|March rent|Local lord|-950.00
2026-03-10|04:20:00|Consulting payment|Northwind|2200.00
2026-03-18|07:40:55|Office chair|Gray Pine Goods|-189.99
2026-04-01|09:00:00|April rent|Local lord|-950.00
2026-04-05|01:15:30|Slay invoice 2002 paid|Northwind|1450.00
2026-04-09|08:48:00|Magic beans for office|River Wood trader|-37.45
2026-04-12|05:30:45|Tax refund|IRS|420.17
2026-04-18|11:22:33|Client lunch|Silver Tavern|-28.60
2026-04-22|03:55:10|Hilt Jewel|Blackfire Smithing|-444.95
2026-04-24|10:05:00|Emergency consulting payment|Acme Client|675.00
